year,county,violent_crimes,property_crimes,violent_clearance_rate,property_clearance_rate,arrests_total,arrests_felony,arrests_misdemeanor,arrests_status_offense,dic_total_deaths,dic_arrest_related,dic_city_county_jails,leoka_total_deaths,leoka_felony_deaths,leoka_accidental_deaths,leoka_total_assaults,leoka_injury_assaults,leoka_no_injury_assaults,calls_for_service,contracting_agencies,population_served,hispanic_population,white_population,black_population,native_american_population,asian_pacific_islander_population,other_population,hispanic_proportion,white_proportion,black_proportion,native_american_proportion,asian_pacific_islander_proportion,other_proportion,arrests_total_rate_per_100000,arrests_felony_rate_per_100000,arrests_misdemeanor_rate_per_100000,arrests_status_offense_rate_per_100000,violent_crimes_rate_per_100000,property_crimes_rate_per_100000,dic_total_deaths_rate_per_100000,dic_arrest_related_rate_per_100000,dic_city_county_jails_rate_per_100000,leoka_total_deaths_rate_per_100000,leoka_felony_deaths_rate_per_100000,leoka_accidental_deaths_rate_per_100000,leoka_total_assaults_rate_per_100000,leoka_injury_assaults_rate_per_100000,leoka_no_injury_assaults_rate_per_100000
2005,San Benito,193,1422,47.15,11.74,2203,612,1572,19,0,0,0,0,0,0,4,3,1,,,55221,29046,22641,552,331,1381,1325,0.52,0.41,0,0,0.02,0.02,3989.424313,1108.274026,2846.743087,34.40720016,349.5047174,2575.107296,0,0,0,0,0,0,7.243621086,5.432715815,1.810905272
2005,San Bernardino,9732,65762,47.57,17.85,104014,40468,61980,1566,20,5,15,2,0,2,311,116,195,,,1921423,895383,697477,163321,9607,113364,42271,0.46,0.36,0.08,0,0.05,0.02,5413.383727,2106.147371,3225.73426,81.50209506,506.4996099,3422.567545,1.040895212,0.260223803,0.780671409,0.104089521,0,0.104089521,16.18592054,6.037192227,10.14872831
2005,San Diego,13845,97513,46.44,11.42,116002,37579,75789,2634,30,2,28,0,0,0,686,286,400,,,2966783,901902,1518993,145372,11867,308545,83070,0.3,0.51,0.04,0,0.1,0.02,3910.02645,1266.658195,2554.585219,88.78303536,466.6670936,3286.826168,1.011196303,0.067413087,0.943783216,0,0,0,23.12268878,9.640071417,13.48261737
2005,San Francisco,6014,35129,30.11,8.14,31729,17681,14042,6,7,0,7,0,0,0,238,53,185,,,780187,110787,347963,49932,2341,246539,22625,0.14,0.44,0.06,0,0.31,0.02,4066.845513,2266.251553,1799.824914,0.769046395,770.8408369,4502.63847,0.897220795,0,0.897220795,0,0,0,30.50550701,6.793243158,23.71226385
2005,San Joaquin,5949,36552,41.58,11.47,38712,14023,24660,29,6,0,6,0,0,0,156,47,109,,,780187,110787,347963,49932,2341,246539,22625,0.14,0.44,0.06,0,0.31,0.02,4961.887342,1797.3896,3160.780685,3.717057577,762.5095009,4685.03064,0.769046395,0,0.769046395,0,0,0,19.99520628,6.024196763,13.97100951
2005,San Luis Obispo,760,6427,57.89,15.76,12739,2698,9987,54,1,0,1,0,0,0,47,22,25,,,259213,48732,190003,4925,1555,8036,5962,0.18,0.73,0.01,0,0.03,0.02,4914.491171,1040.842859,3852.816024,20.8322885,293.1951715,2479.428115,0.38578312,0,0.38578312,0,0,0,18.13180666,8.48722865,9.644578011
2005,San Mateo,2447,18628,48.67,18.75,19061,6275,12497,289,5,0,5,0,0,0,121,40,81,,,700350,161781,320060,21711,1401,175788,20310,0.23,0.45,0.03,0,0.25,0.02,2721.63918,895.9805811,1784.393518,41.26508174,349.3967302,2659.812951,0.71392875,0,0.71392875,0,0,0,17.27707575,5.711429999,11.56564575
2005,Santa Barbara,1668,9737,54.55,14.57,30746,4802,25232,712,1,0,1,0,0,0,77,20,57,,,411440,159639,216006,7406,2057,18103,8640,0.38,0.52,0.01,0,0.04,0.02,7472.778534,1167.120358,6132.607428,173.0507486,405.4054054,2366.566206,0.243048804,0,0.243048804,0,0,0,18.71475792,4.860976084,13.85378184
2005,Santa Clara,5350,44995,42.82,17.49,63023,20363,41263,1397,12,1,11,0,0,0,386,122,264,,,1698234,436446,652122,40758,5095,514565,47551,0.25,0.38,0.02,0,0.3,0.02,3711.090462,1199.069151,2429.759385,82.26192621,315.0331462,2649.517087,0.706616403,0.0588847,0.647731702,0,0,0,22.72949429,7.183933427,15.54556086
2005,Santa Cruz,1155,10255,43.8,11.22,12050,3225,8802,23,1,0,1,1,0,1,108,40,68,,,254783,73887,160259,2548,764,9937,7389,0.28,0.62,0.01,0,0.03,0.02,4729.514921,1265.783039,3454.704592,9.02728989,453.3269488,4024.993818,0.392490865,0,0.392490865,0.392490865,0,0.392490865,42.3890134,15.69963459,26.6893788
2005,Shasta,851,6025,59.81,17.9,8932,2479,6033,420,0,0,0,0,0,0,44,16,28,,,173862,13387,144827,1739,4173,4520,5042,0.07,0.83,0.01,0.02,0.02,0.02,5137.407829,1425.843485,3469.993443,241.5709011,489.4686591,3465.392093,0,0,0,0,0,0,25.30742773,9.202700993,16.10472674
2005,Siskiyou,137,1147,74.45,25.1,2573,748,1819,6,1,0,1,0,0,0,13,1,12,,,44865,4352,36251,628,1077,763,1839,0.09,0.8,0.01,0.02,0.01,0.04,5734.982726,1667.223894,4054.385378,13.37345369,305.360526,2556.558565,2.228908949,0,2.228908949,0,0,0,28.97581634,2.228908949,26.74690739
